# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = tmpltgry_al_model
# start_datetime = 2025-01-24 14:26:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 200
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/9qba0r9r.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/two_step_model8b0ad4f9/two_step_model-20250124092625_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = --filename-in-msg=two_step_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha_exec,alpha_idea
# Adaptation terminated
# Step size = 0.111596
# Diagonal elements of inverse mass matrix:
# 1.25188, 0.011343, 0.00758529
-87.7055,0.983554,0.111596,4,23,0,89.5864,-14.0432,1.05032,1.13304
-90.6317,0.743174,0.111596,2,3,0,91.0174,-14.1912,1.03422,1.13258
-88.5794,0.999721,0.111596,4,31,0,91.7396,-15.5675,1.20861,1.20381
-87.1019,0.998786,0.111596,4,19,0,89.0648,-15.7409,1.16276,1.30951
-87.2022,0.99261,0.111596,3,15,0,88.8178,-15.7263,1.23718,1.26714
-89.4009,0.874831,0.111596,5,31,0,90.8695,-17.6779,1.29615,1.48444
-89.8284,0.942617,0.111596,3,7,0,90.0576,-17.4573,1.2998,1.49567
-89.3207,0.977286,0.111596,1,3,0,90.1406,-17.5789,1.28966,1.4935
-89.4099,0.946222,0.111596,4,15,0,90.0677,-17.3509,1.27209,1.48973
-89.9605,0.881871,0.111596,5,31,0,91.0025,-17.7481,1.29259,1.48285
-93.8375,0.695379,0.111596,2,7,0,94.8715,-17.1429,1.32585,1.47991
-93.2448,0.730834,0.111596,2,3,0,100.627,-17.0894,1.32907,1.4646
-90.778,0.974695,0.111596,3,15,0,94.949,-17.4114,1.29731,1.39304
-89.4626,0.87549,0.111596,2,3,0,92.8914,-17.3893,1.29832,1.40871
-87.9202,0.9992,0.111596,4,17,0,89.7276,-16.6045,1.23227,1.36603
-87.5666,0.999289,0.111596,5,31,0,89.7729,-15.1024,1.21524,1.18187
-88.2985,0.915121,0.111596,5,39,0,90.0079,-16.6303,1.23099,1.3619
-87.1775,0.992651,0.111596,3,15,0,88.9307,-16.1638,1.22652,1.31106
-87.1468,0.935111,0.111596,5,39,0,88.1407,-15.1529,1.14443,1.21993
-87.9827,0.999851,0.111596,5,47,0,89.1995,-16.5423,1.24874,1.3926
-86.8981,0.89025,0.111596,5,47,0,89.3497,-15.049,1.16273,1.19802
-87.9273,0.900432,0.111596,2,3,0,88.0486,-14.7637,1.16681,1.2039
-87.9841,0.971307,0.111596,4,23,0,90.7383,-13.3823,1.00717,1.08116
-88.1265,0.923876,0.111596,4,19,0,89.926,-13.5796,0.981296,1.13816
-88.3781,0.702656,0.111596,4,27,0,92.441,-14.2528,1.04852,1.15412
-86.9767,1,0.111596,2,3,0,88.3382,-14.1091,1.05872,1.16296
-87.1849,0.991252,0.111596,4,15,0,87.3373,-13.8742,1.04949,1.12886
-87.4666,0.993344,0.111596,5,39,0,88.436,-14.5892,1.05113,1.23854
-87.3358,0.974589,0.111596,4,31,0,89.2122,-14.2353,1.12606,1.12166
-87.1273,0.995145,0.111596,3,7,0,87.3995,-14.305,1.11817,1.13258
-87.9239,0.996587,0.111596,4,15,0,88.2647,-14.1263,1.13227,1.09077
-88.7316,0.977155,0.111596,5,31,0,88.8392,-14.1741,1.16354,1.08123
-88.6865,0.996963,0.111596,4,15,0,89.1021,-14.1351,1.13807,1.06977
-90.5758,0.750963,0.111596,2,7,0,93.1538,-13.9782,1.17805,1.02971
