# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = tmpltgry_al_model
# start_datetime = 2025-01-24 14:26:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 200
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/9qba0r9r.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = /var/folders/9z/bf6qfjvd695cjkj7s4ss1cxh0000gn/T/tmpnvbn_v57/two_step_model8b0ad4f9/two_step_model-20250124092625_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = --filename-in-msg=two_step_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha0,alpha_exec,alpha_idea
# Adaptation terminated
# Step size = 0.101181
# Diagonal elements of inverse mass matrix:
# 2.3098, 0.0201026, 0.0144413
-87.355,0.842282,0.101181,4,31,0,88.2423,-15.1889,1.15147,1.27683
-86.9361,0.995873,0.101181,4,15,0,87.7839,-14.8094,1.16337,1.18336
-87.5567,0.806896,0.101181,3,13,0,89.5865,-14.8322,1.07916,1.27467
-87.8441,0.930819,0.101181,5,63,0,89.2305,-15.4179,1.10558,1.3015
-87.2199,0.997039,0.101181,4,15,0,88.1539,-15.6679,1.1904,1.3092
-86.9353,0.892935,0.101181,4,25,0,88.0226,-15.455,1.19634,1.23031
-87.1823,0.992335,0.101181,3,7,0,87.2212,-15.2957,1.2121,1.22082
-87.394,0.898419,0.101181,2,5,0,88.1085,-15.3547,1.2267,1.19795
-87.5624,0.834659,0.101181,5,35,0,88.9493,-16.0283,1.21747,1.34357
-87.2261,0.8769,0.101181,3,15,0,89.1074,-15.8097,1.24943,1.26184
-87.3636,0.997584,0.101181,5,31,0,87.7455,-13.9429,1.08115,1.10614
-87.0686,0.94868,0.101181,4,31,0,88.566,-15.4361,1.13382,1.30146
-88.2065,0.991506,0.101181,4,15,0,88.6027,-16.7924,1.33658,1.31537
-87.3152,0.961623,0.101181,5,63,0,89.7894,-13.9234,1.06708,1.14653
-87.255,0.998755,0.101181,4,15,0,87.6999,-14.0331,1.09142,1.11413
-87.5005,0.949764,0.101181,3,15,0,88.252,-13.6291,1.03219,1.12898
-87.9165,0.643532,0.101181,2,3,0,89.6744,-13.5902,1.05522,1.11233
-87.4323,0.80499,0.101181,2,3,0,88.5933,-13.6196,1.03787,1.10161
-87.4758,0.906177,0.101181,4,23,0,88.3374,-14.0039,1.03471,1.18657
-86.7857,0.993135,0.101181,4,31,0,89.0479,-14.6928,1.12389,1.20848
-87.3366,0.573751,0.101181,2,7,0,89.6641,-14.5377,1.09959,1.22143
-87.4161,0.999551,0.101181,5,43,0,87.7532,-15.8949,1.22412,1.26077
-86.9777,0.952111,0.101181,2,3,0,87.6394,-15.6773,1.22687,1.26167
-87.4117,0.996729,0.101181,4,31,0,87.9976,-16.3743,1.28511,1.30985
-88.0127,0.980194,0.101181,5,31,0,88.4947,-17.0768,1.31336,1.39951
-87.8059,0.903183,0.101181,4,17,0,88.9611,-16.5552,1.29395,1.34828
-87.1585,0.826622,0.101181,3,11,0,89.1915,-16.3525,1.24374,1.33798
-86.7929,0.997296,0.101181,5,63,0,88.2704,-14.3493,1.0903,1.17061
-87.9865,0.975464,0.101181,5,35,0,91.8319,-16.0171,1.28434,1.23588
-89.1695,0.946235,0.101181,4,23,0,91.3662,-17.4172,1.30695,1.47424
-89.2621,0.921357,0.101181,5,63,0,91.6439,-13.0912,0.955988,1.13163
-87.8812,0.972543,0.101181,4,15,0,89.5766,-13.7538,0.997828,1.14951
-88.4156,0.979686,0.101181,4,15,0,89.3238,-13.0265,0.955928,1.08817
-88.804,0.687513,0.101181,5,39,0,91.3844,-17.2081,1.3357,1.41959
-88.6115,0.649047,0.101181,3,11,0,92.7465,-17.2286,1.26753,1.45159
-88.2049,0.926004,0.101181,5,63,0,89.3369,-13.1592,0.966307,1.10242
-87.8319,0.786558,0.101181,4,15,0,89.6098,-14.2989,1.13001,1.15982
-88.5874,0.933766,0.101181,4,27,0,90.266,-15.5542,1.09391,1.3322
-87.7954,0.984765,0.101181,4,31,0,90.258,-14.3442,1.07375,1.22058
-88.2975,0.957001,0.101181,4,31,0,91.1735,-15.896,1.15623,1.37725
